timestamp,user_input,generated_sql,sql_valid,source
2025-06-02 01:21:28,Данные по грантам за последний год,SELECT * FROM table WHERE id = 72,error,api
2025-06-06 23:25:28,Публикации в журнале 'Наука и техника',SELECT * FROM table WHERE id = 11,ok,ui
2025-05-27 09:00:28,"Список студентов, участвующих в НИР",SELECT * FROM table WHERE id = 33,ok,api
2025-05-28 22:42:28,Сотрудники с индексом цитирования выше 10,SELECT * FROM table WHERE id = 72,error,ui
2025-05-26 11:45:28,Вывести статьи за 2023 год,SELECT * FROM table WHERE id = 78,ok,api
2025-06-04 07:40:28,"Список студентов, участвующих в НИР",SELECT * FROM table WHERE id = 73,ok,api
2025-05-18 23:01:28,Данные по грантам за последний год,SELECT * FROM table WHERE id = 70,ok,api
2025-05-28 00:49:28,Публикации в журнале 'Наука и техника',SELECT * FROM table WHERE id = 83,ok,api
2025-06-03 07:51:28,Данные по грантам за последний год,SELECT * FROM table WHERE id = 54,ok,ui
2025-06-10 00:17:28,Публикации в журнале 'Наука и техника',SELECT * FROM table WHERE id = 88,ok,ui
2025-05-20 00:27:28,Сколько публикаций у профессора Иванова?,SELECT * FROM table WHERE id = 97,ok,api
2025-06-07 00:14:28,Публикации в журнале 'Наука и техника',SELECT * FROM table WHERE id = 96,ok,ui
2025-05-22 08:56:28,Сотрудники с индексом цитирования выше 10,SELECT * FROM table WHERE id = 20,ok,api
2025-06-07 21:07:28,Данные по грантам за последний год,SELECT * FROM table WHERE id = 51,ok,api
2025-05-26 19:54:28,Рейтинг кафедр по публикационной активности,SELECT * FROM table WHERE id = 2,ok,ui
2025-05-16 04:40:28,Сотрудники с индексом цитирования выше 10,SELECT * FROM table WHERE id = 95,ok,api
2025-05-20 06:20:28,"Список студентов, участвующих в НИР",SELECT * FROM table WHERE id = 48,ok,ui
2025-05-28 01:57:28,Какие журналы входят в РИНЦ?,SELECT * FROM table WHERE id = 12,ok,api
2025-06-08 23:41:28,Данные по грантам за последний год,SELECT * FROM table WHERE id = 1,ok,ui
2025-06-08 07:50:28,Рейтинг кафедр по публикационной активности,SELECT * FROM table WHERE id = 81,error,ui
2025-05-22 08:37:28,Данные по грантам за последний год,SELECT * FROM table WHERE id = 1,ok,ui
2025-05-19 11:01:28,Данные по грантам за последний год,SELECT * FROM table WHERE id = 37,error,api
2025-05-29 10:57:28,Вывести статьи за 2023 год,SELECT * FROM table WHERE id = 14,ok,api
2025-05-27 05:55:28,Сколько публикаций у профессора Иванова?,SELECT * FROM table WHERE id = 94,ok,ui
2025-05-24 13:56:28,Сколько публикаций у профессора Иванова?,SELECT * FROM table WHERE id = 7,ok,api
2025-06-04 10:46:28,Рейтинг кафедр по публикационной активности,SELECT * FROM table WHERE id = 27,ok,ui
2025-05-18 12:15:28,Показать всех сотрудников кафедры ИТ,SELECT * FROM table WHERE id = 16,ok,ui
2025-06-04 02:42:28,Публикации в журнале 'Наука и техника',SELECT * FROM table WHERE id = 40,ok,api
2025-06-06 02:28:28,Сотрудники с индексом цитирования выше 10,SELECT * FROM table WHERE id = 31,ok,ui
2025-05-16 05:34:28,Вывести статьи за 2023 год,SELECT * FROM table WHERE id = 86,ok,api
2025-05-16 22:53:28,Публикации в журнале 'Наука и техника',SELECT * FROM table WHERE id = 1,ok,api
2025-06-05 00:17:28,Рейтинг кафедр по публикационной активности,SELECT * FROM table WHERE id = 35,ok,ui
2025-06-03 03:14:28,"Список студентов, участвующих в НИР",SELECT * FROM table WHERE id = 14,ok,ui
2025-05-14 23:52:28,Сколько сотрудников в институте математики?,SELECT * FROM table WHERE id = 57,ok,ui
2025-06-06 23:00:28,Показать всех сотрудников кафедры ИТ,SELECT * FROM table WHERE id = 93,ok,api
2025-06-04 06:52:28,Показать всех сотрудников кафедры ИТ,SELECT * FROM table WHERE id = 93,ok,api
2025-05-17 22:53:28,Показать всех сотрудников кафедры ИТ,SELECT * FROM table WHERE id = 83,ok,ui
2025-05-29 15:52:28,Данные по грантам за последний год,SELECT * FROM table WHERE id = 57,ok,ui
2025-05-20 09:56:28,Рейтинг кафедр по публикационной активности,SELECT * FROM table WHERE id = 73,ok,api
2025-05-15 18:37:28,Какие журналы входят в РИНЦ?,SELECT * FROM table WHERE id = 7,ok,ui
2025-05-26 08:17:28,Рейтинг кафедр по публикационной активности,SELECT * FROM table WHERE id = 29,ok,api
2025-05-22 16:15:28,Показать всех сотрудников кафедры ИТ,SELECT * FROM table WHERE id = 3,error,api
2025-06-02 15:36:28,Сотрудники с индексом цитирования выше 10,SELECT * FROM table WHERE id = 18,ok,api
2025-05-28 22:12:28,Вывести статьи за 2023 год,SELECT * FROM table WHERE id = 77,ok,ui
2025-05-21 22:40:28,Какие журналы входят в РИНЦ?,SELECT * FROM table WHERE id = 85,ok,api
2025-05-15 12:00:28,Вывести статьи за 2023 год,SELECT * FROM table WHERE id = 74,error,api
2025-05-14 12:38:28,Рейтинг кафедр по публикационной активности,SELECT * FROM table WHERE id = 80,ok,ui
2025-05-27 21:20:28,Публикации в журнале 'Наука и техника',SELECT * FROM table WHERE id = 8,ok,ui
2025-05-23 23:42:28,Публикации в журнале 'Наука и техника',SELECT * FROM table WHERE id = 99,ok,ui
2025-05-28 02:26:28,Сколько сотрудников в институте математики?,SELECT * FROM table WHERE id = 25,ok,ui
2025-05-18 02:51:28,Сколько публикаций у профессора Иванова?,SELECT * FROM table WHERE id = 90,ok,ui
2025-05-14 02:37:28,Рейтинг кафедр по публикационной активности,SELECT * FROM table WHERE id = 56,ok,api
2025-05-20 15:01:28,Вывести статьи за 2023 год,SELECT * FROM table WHERE id = 6,error,api
2025-05-25 19:22:28,Рейтинг кафедр по публикационной активности,SELECT * FROM table WHERE id = 15,ok,ui
2025-05-29 02:57:28,Сколько публикаций у профессора Иванова?,SELECT * FROM table WHERE id = 60,ok,api
2025-06-10 01:00:28,Какие журналы входят в РИНЦ?,SELECT * FROM table WHERE id = 21,ok,ui
2025-05-25 09:38:28,Сотрудники с индексом цитирования выше 10,SELECT * FROM table WHERE id = 68,ok,ui
2025-06-07 20:35:28,Рейтинг кафедр по публикационной активности,SELECT * FROM table WHERE id = 87,ok,ui
2025-05-30 11:28:28,Публикации в журнале 'Наука и техника',SELECT * FROM table WHERE id = 70,ok,api
2025-06-12 10:30:28,Сколько сотрудников в институте математики?,SELECT * FROM table WHERE id = 70,error,api
2025-06-03 14:51:28,Данные по грантам за последний год,SELECT * FROM table WHERE id = 22,ok,ui
2025-05-19 09:00:28,Вывести статьи за 2023 год,SELECT * FROM table WHERE id = 43,error,ui
2025-05-21 21:49:28,Сколько публикаций у профессора Иванова?,SELECT * FROM table WHERE id = 44,error,api
2025-05-19 05:47:28,Сколько сотрудников в институте математики?,SELECT * FROM table WHERE id = 69,ok,ui
2025-06-08 03:42:28,Сколько публикаций у профессора Иванова?,SELECT * FROM table WHERE id = 52,ok,ui
2025-05-18 08:16:28,Сотрудники с индексом цитирования выше 10,SELECT * FROM table WHERE id = 17,ok,ui
2025-06-02 16:48:28,Публикации в журнале 'Наука и техника',SELECT * FROM table WHERE id = 89,error,api
2025-06-11 09:18:28,Публикации в журнале 'Наука и техника',SELECT * FROM table WHERE id = 50,error,ui
2025-05-20 07:14:28,Показать всех сотрудников кафедры ИТ,SELECT * FROM table WHERE id = 33,ok,api
2025-05-24 19:47:28,Рейтинг кафедр по публикационной активности,SELECT * FROM table WHERE id = 90,ok,api
2025-06-08 08:00:28,Сотрудники с индексом цитирования выше 10,SELECT * FROM table WHERE id = 80,ok,api
2025-05-19 20:05:28,Публикации в журнале 'Наука и техника',SELECT * FROM table WHERE id = 84,ok,api
2025-05-22 23:21:28,Вывести статьи за 2023 год,SELECT * FROM table WHERE id = 20,error,api
2025-05-16 10:58:28,Сколько публикаций у профессора Иванова?,SELECT * FROM table WHERE id = 53,ok,ui
2025-06-06 18:01:28,Вывести статьи за 2023 год,SELECT * FROM table WHERE id = 67,ok,ui
2025-05-22 12:51:28,Показать всех сотрудников кафедры ИТ,SELECT * FROM table WHERE id = 21,ok,api
2025-05-20 05:52:28,Рейтинг кафедр по публикационной активности,SELECT * FROM table WHERE id = 49,ok,api
2025-05-18 11:35:28,Сколько сотрудников в институте математики?,SELECT * FROM table WHERE id = 29,ok,ui
2025-05-30 23:15:28,Данные по грантам за последний год,SELECT * FROM table WHERE id = 5,ok,ui
2025-05-20 19:01:28,Сотрудники с индексом цитирования выше 10,SELECT * FROM table WHERE id = 38,ok,api
2025-05-20 12:43:28,Показать всех сотрудников кафедры ИТ,SELECT * FROM table WHERE id = 24,ok,ui
2025-06-01 22:04:28,Публикации в журнале 'Наука и техника',SELECT * FROM table WHERE id = 69,ok,ui
2025-06-05 05:35:28,Какие журналы входят в РИНЦ?,SELECT * FROM table WHERE id = 60,ok,ui
2025-06-03 09:20:28,Показать всех сотрудников кафедры ИТ,SELECT * FROM table WHERE id = 18,ok,api
2025-05-29 19:17:28,Сколько сотрудников в институте математики?,SELECT * FROM table WHERE id = 10,ok,ui
2025-05-17 16:07:28,Публикации в журнале 'Наука и техника',SELECT * FROM table WHERE id = 5,ok,ui
2025-06-01 13:54:28,Сколько сотрудников в институте математики?,SELECT * FROM table WHERE id = 4,error,api
2025-05-15 12:22:28,Какие журналы входят в РИНЦ?,SELECT * FROM table WHERE id = 50,ok,api
2025-06-08 16:26:28,"Список студентов, участвующих в НИР",SELECT * FROM table WHERE id = 69,ok,ui
2025-05-26 09:11:28,Сотрудники с индексом цитирования выше 10,SELECT * FROM table WHERE id = 100,ok,api
2025-05-17 05:28:28,Сколько сотрудников в институте математики?,SELECT * FROM table WHERE id = 100,ok,ui
2025-05-22 03:24:28,Сколько публикаций у профессора Иванова?,SELECT * FROM table WHERE id = 86,ok,ui
2025-05-22 14:19:28,Сколько сотрудников в институте математики?,SELECT * FROM table WHERE id = 100,ok,api
2025-05-26 21:33:28,"Список студентов, участвующих в НИР",SELECT * FROM table WHERE id = 22,ok,api
2025-05-21 17:26:28,Сколько сотрудников в институте математики?,SELECT * FROM table WHERE id = 26,ok,ui
2025-05-30 01:43:28,Вывести статьи за 2023 год,SELECT * FROM table WHERE id = 27,ok,ui
2025-06-01 23:03:28,Сотрудники с индексом цитирования выше 10,SELECT * FROM table WHERE id = 94,ok,ui
2025-06-06 20:01:28,Сотрудники с индексом цитирования выше 10,SELECT * FROM table WHERE id = 36,ok,api
2025-05-21 10:06:28,Вывести статьи за 2023 год,SELECT * FROM table WHERE id = 100,ok,api
2025-06-08 12:44:28,Вывести статьи за 2023 год,SELECT * FROM table WHERE id = 60,ok,api
2025-06-05 08:24:28,Сколько публикаций у профессора Иванова?,SELECT * FROM table WHERE id = 23,ok,api
2025-05-22 14:55:28,Показать всех сотрудников кафедры ИТ,SELECT * FROM table WHERE id = 74,ok,api
2025-05-20 02:27:28,Сколько публикаций у профессора Иванова?,SELECT * FROM table WHERE id = 40,ok,ui
2025-06-07 15:31:28,Данные по грантам за последний год,SELECT * FROM table WHERE id = 65,ok,ui
2025-06-07 01:59:28,Публикации в журнале 'Наука и техника',SELECT * FROM table WHERE id = 29,ok,api
2025-05-25 03:15:28,Публикации в журнале 'Наука и техника',SELECT * FROM table WHERE id = 60,ok,ui
2025-06-10 18:38:28,Вывести статьи за 2023 год,SELECT * FROM table WHERE id = 68,ok,ui
2025-06-08 14:29:28,Рейтинг кафедр по публикационной активности,SELECT * FROM table WHERE id = 51,ok,ui
2025-05-16 22:34:28,"Список студентов, участвующих в НИР",SELECT * FROM table WHERE id = 100,ok,ui
2025-05-20 23:27:28,Публикации в журнале 'Наука и техника',SELECT * FROM table WHERE id = 51,error,api
2025-06-06 04:32:28,Публикации в журнале 'Наука и техника',SELECT * FROM table WHERE id = 27,ok,api
2025-06-09 13:44:28,Сколько публикаций у профессора Иванова?,SELECT * FROM table WHERE id = 43,ok,api
2025-05-30 16:39:28,Какие журналы входят в РИНЦ?,SELECT * FROM table WHERE id = 45,ok,ui
2025-05-16 12:03:28,Данные по грантам за последний год,SELECT * FROM table WHERE id = 9,ok,ui
2025-05-18 02:33:28,Какие журналы входят в РИНЦ?,SELECT * FROM table WHERE id = 28,ok,api
2025-06-07 09:11:28,Сколько сотрудников в институте математики?,SELECT * FROM table WHERE id = 25,ok,ui
2025-06-07 19:06:28,Сколько публикаций у профессора Иванова?,SELECT * FROM table WHERE id = 45,ok,api
2025-06-11 06:36:28,Сколько публикаций у профессора Иванова?,SELECT * FROM table WHERE id = 20,ok,api
2025-06-09 07:42:28,"Список студентов, участвующих в НИР",SELECT * FROM table WHERE id = 17,error,ui
2025-05-18 10:27:28,Рейтинг кафедр по публикационной активности,SELECT * FROM table WHERE id = 82,ok,api
2025-06-01 16:52:28,Рейтинг кафедр по публикационной активности,SELECT * FROM table WHERE id = 43,ok,ui
2025-06-05 10:37:28,Показать всех сотрудников кафедры ИТ,SELECT * FROM table WHERE id = 53,ok,ui
2025-05-19 05:04:28,Данные по грантам за последний год,SELECT * FROM table WHERE id = 11,error,api
2025-06-08 08:26:28,Данные по грантам за последний год,SELECT * FROM table WHERE id = 26,ok,ui
2025-06-09 04:11:28,Сотрудники с индексом цитирования выше 10,SELECT * FROM table WHERE id = 63,ok,ui
2025-06-06 07:33:28,"Список студентов, участвующих в НИР",SELECT * FROM table WHERE id = 50,ok,api
2025-06-03 18:26:28,Сотрудники с индексом цитирования выше 10,SELECT * FROM table WHERE id = 69,error,ui
2025-05-24 08:14:28,Сколько публикаций у профессора Иванова?,SELECT * FROM table WHERE id = 40,error,ui
2025-06-11 15:09:28,Публикации в журнале 'Наука и техника',SELECT * FROM table WHERE id = 63,error,ui
2025-05-16 14:50:28,Какие журналы входят в РИНЦ?,SELECT * FROM table WHERE id = 75,ok,ui
2025-06-10 09:58:28,Показать всех сотрудников кафедры ИТ,SELECT * FROM table WHERE id = 37,ok,api
2025-06-02 01:20:28,Показать всех сотрудников кафедры ИТ,SELECT * FROM table WHERE id = 43,ok,ui
2025-05-25 05:03:28,Данные по грантам за последний год,SELECT * FROM table WHERE id = 39,ok,api
2025-05-31 09:34:28,Публикации в журнале 'Наука и техника',SELECT * FROM table WHERE id = 61,ok,ui
2025-05-21 17:33:28,Вывести статьи за 2023 год,SELECT * FROM table WHERE id = 92,ok,ui
2025-06-07 18:57:28,Рейтинг кафедр по публикационной активности,SELECT * FROM table WHERE id = 47,ok,ui
2025-05-16 09:41:28,Сотрудники с индексом цитирования выше 10,SELECT * FROM table WHERE id = 77,ok,ui
2025-06-12 01:46:28,Сколько публикаций у профессора Иванова?,SELECT * FROM table WHERE id = 76,ok,api
2025-05-21 10:49:28,Сотрудники с индексом цитирования выше 10,SELECT * FROM table WHERE id = 40,ok,api
2025-05-25 23:11:28,Какие журналы входят в РИНЦ?,SELECT * FROM table WHERE id = 77,ok,ui
2025-05-21 16:21:28,Рейтинг кафедр по публикационной активности,SELECT * FROM table WHERE id = 24,ok,ui
2025-05-15 18:00:28,Какие журналы входят в РИНЦ?,SELECT * FROM table WHERE id = 87,ok,ui
2025-05-28 05:25:28,Рейтинг кафедр по публикационной активности,SELECT * FROM table WHERE id = 75,error,api
2025-05-22 15:18:28,Рейтинг кафедр по публикационной активности,SELECT * FROM table WHERE id = 44,ok,api
2025-05-27 12:24:28,Показать всех сотрудников кафедры ИТ,SELECT * FROM table WHERE id = 68,error,api
2025-06-09 22:33:28,Сколько публикаций у профессора Иванова?,SELECT * FROM table WHERE id = 26,ok,api
2025-05-22 21:40:28,Сколько публикаций у профессора Иванова?,SELECT * FROM table WHERE id = 28,ok,ui
2025-06-09 13:29:28,Сколько публикаций у профессора Иванова?,SELECT * FROM table WHERE id = 64,ok,api
2025-06-04 13:25:28,Показать всех сотрудников кафедры ИТ,SELECT * FROM table WHERE id = 7,error,api
2025-05-16 11:47:28,Показать всех сотрудников кафедры ИТ,SELECT * FROM table WHERE id = 13,ok,ui
2025-06-10 00:49:28,Вывести статьи за 2023 год,SELECT * FROM table WHERE id = 52,ok,ui
2025-06-06 09:08:28,Сотрудники с индексом цитирования выше 10,SELECT * FROM table WHERE id = 60,ok,api
2025-05-22 09:52:28,"Список студентов, участвующих в НИР",SELECT * FROM table WHERE id = 11,error,ui
2025-06-11 17:38:28,Сотрудники с индексом цитирования выше 10,SELECT * FROM table WHERE id = 12,ok,ui
2025-06-09 01:10:28,Вывести статьи за 2023 год,SELECT * FROM table WHERE id = 1,ok,api
2025-05-15 20:59:28,Публикации в журнале 'Наука и техника',SELECT * FROM table WHERE id = 20,ok,api
2025-05-14 17:14:28,Вывести статьи за 2023 год,SELECT * FROM table WHERE id = 52,ok,ui
2025-05-31 01:33:28,Публикации в журнале 'Наука и техника',SELECT * FROM table WHERE id = 69,ok,api
2025-05-26 19:41:28,Вывести статьи за 2023 год,SELECT * FROM table WHERE id = 92,ok,api
2025-06-06 04:13:28,Сотрудники с индексом цитирования выше 10,SELECT * FROM table WHERE id = 10,ok,ui
2025-06-03 18:38:28,Данные по грантам за последний год,SELECT * FROM table WHERE id = 25,ok,api
2025-05-27 00:53:28,Сколько публикаций у профессора Иванова?,SELECT * FROM table WHERE id = 51,ok,ui
2025-06-07 04:10:28,Сколько публикаций у профессора Иванова?,SELECT * FROM table WHERE id = 21,error,ui
2025-05-17 20:29:28,Данные по грантам за последний год,SELECT * FROM table WHERE id = 35,ok,api
2025-06-05 01:06:28,Сотрудники с индексом цитирования выше 10,SELECT * FROM table WHERE id = 9,ok,api
2025-05-29 04:35:28,Показать всех сотрудников кафедры ИТ,SELECT * FROM table WHERE id = 31,ok,ui
2025-05-14 18:45:28,Рейтинг кафедр по публикационной активности,SELECT * FROM table WHERE id = 46,ok,api
2025-05-19 15:53:28,Показать всех сотрудников кафедры ИТ,SELECT * FROM table WHERE id = 52,error,ui
2025-06-02 19:40:28,Данные по грантам за последний год,SELECT * FROM table WHERE id = 78,ok,api
2025-05-25 09:53:28,Сколько публикаций у профессора Иванова?,SELECT * FROM table WHERE id = 1,ok,api
2025-05-30 08:52:28,Какие журналы входят в РИНЦ?,SELECT * FROM table WHERE id = 92,ok,api
2025-05-18 19:36:28,Какие журналы входят в РИНЦ?,SELECT * FROM table WHERE id = 20,ok,api
2025-05-15 21:54:28,Вывести статьи за 2023 год,SELECT * FROM table WHERE id = 13,error,api
2025-05-29 05:55:28,"Список студентов, участвующих в НИР",SELECT * FROM table WHERE id = 21,ok,ui
2025-06-06 06:19:28,Показать всех сотрудников кафедры ИТ,SELECT * FROM table WHERE id = 89,error,ui
2025-05-31 19:23:28,Данные по грантам за последний год,SELECT * FROM table WHERE id = 97,ok,ui
2025-05-28 17:10:28,Сколько сотрудников в институте математики?,SELECT * FROM table WHERE id = 17,ok,api
2025-06-05 15:28:28,Показать всех сотрудников кафедры ИТ,SELECT * FROM table WHERE id = 100,ok,ui
2025-05-27 10:31:28,"Список студентов, участвующих в НИР",SELECT * FROM table WHERE id = 5,ok,api
2025-06-02 09:26:28,"Список студентов, участвующих в НИР",SELECT * FROM table WHERE id = 10,ok,api
2025-06-11 10:15:28,Какие журналы входят в РИНЦ?,SELECT * FROM table WHERE id = 69,ok,api
2025-05-25 03:58:28,Показать всех сотрудников кафедры ИТ,SELECT * FROM table WHERE id = 73,ok,api
2025-05-20 15:00:28,Публикации в журнале 'Наука и техника',SELECT * FROM table WHERE id = 92,ok,api
2025-06-12 09:39:28,Сотрудники с индексом цитирования выше 10,SELECT * FROM table WHERE id = 36,ok,ui
2025-05-29 13:04:28,Рейтинг кафедр по публикационной активности,SELECT * FROM table WHERE id = 11,ok,ui
2025-06-10 20:40:28,"Список студентов, участвующих в НИР",SELECT * FROM table WHERE id = 17,ok,api
2025-05-14 20:00:28,Данные по грантам за последний год,SELECT * FROM table WHERE id = 20,ok,api
2025-05-31 11:47:28,Сотрудники с индексом цитирования выше 10,SELECT * FROM table WHERE id = 20,ok,api
2025-06-09 14:20:28,Сколько публикаций у профессора Иванова?,SELECT * FROM table WHERE id = 24,ok,api
2025-05-20 13:54:28,Вывести статьи за 2023 год,SELECT * FROM table WHERE id = 24,ok,ui
2025-05-21 21:48:28,Сколько сотрудников в институте математики?,SELECT * FROM table WHERE id = 39,ok,api
2025-06-04 05:38:28,Сотрудники с индексом цитирования выше 10,SELECT * FROM table WHERE id = 60,ok,ui
2025-06-09 21:10:28,Вывести статьи за 2023 год,SELECT * FROM table WHERE id = 65,ok,ui
2025-05-15 09:41:28,Сотрудники с индексом цитирования выше 10,SELECT * FROM table WHERE id = 39,ok,ui
2025-05-22 20:32:28,Рейтинг кафедр по публикационной активности,SELECT * FROM table WHERE id = 16,ok,api
2025-06-11 09:37:28,"Список студентов, участвующих в НИР",SELECT * FROM table WHERE id = 66,ok,api
2025-05-26 03:16:28,Какие журналы входят в РИНЦ?,SELECT * FROM table WHERE id = 15,ok,ui
2025-06-08 00:12:28,Вывести статьи за 2023 год,SELECT * FROM table WHERE id = 85,ok,api
2025-05-21 16:26:28,Данные по грантам за последний год,SELECT * FROM table WHERE id = 24,ok,api
2025-05-17 11:03:28,Сотрудники с индексом цитирования выше 10,SELECT * FROM table WHERE id = 49,ok,api
2025-06-13 01:36:32,Сотрудники младше 40 лет,SELECT * FROM Сотрудники WHERE возраст < 40;,,inference,
2025-06-13 01:36:37,Сотрудники младше 40 лет,SELECT * FROM Сотрудники WHERE возраст < 40;,,inference,
2025-06-13 01:36:57,Сотрудники младше 40 лет,SELECT * FROM Сотрудники WHERE возраст < 40;,,inference,
